id,player_name,ally_code
34,Redav,413183777
5,BobbaSwett,741466628
36,Rizzityrekt,878125469
17,IP Freely,796981778
22,Katriona Swift,368433365
8,D D,121578518
47,The JuJu Cartel,217382952
18,JainaSolo,379831356
19,Jak Dramond,143484527
42,Snazzy Weasal,349812752
40,Senwen Stonewill,498589476
39,SVEN,536631575
24,LilRaindrop,859426465
30,Obi Quan,324524711
33,Rayd413,561346531
41,Silvious,997739751
44,Steel,937688124
3,Beladore,624569952
23,Lannis,428992764
10,Dem Exia,595543912
50,XalNaga,626638651
21,Karstus,249922487
12,Elko,889876492
14,Ezl,444154985
37,Rojambo,117388419
4,BlackEagle,426412867
25,LogieBear,731568518
32,Quinton,817777215
2,Barkley Wigglebutts,953371698
31,Pen Coco,129259741
43,Stach,932228131
38,RunTee,458958394
11,DingDongDangler,436813255
1,Aspartame,979723264
20,KAM8621,565556917
13,Emiya,513372683
16,Havchas,133734469
29,Nick,439237792
9,DarthCorleone43,825731634
45,Swett,661854753
48,Troy,952131223
28,Mooseman,349112182
51,Vyranos,757873327
15,Flash,482364717
35,Reed,664617574
26,Mol Eliza 2,498467694
7,Squidicles,449335546
49,WhitestDudeHere,558334453
46,Thatankzz,498227358
